Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,Cluster,PC1_2d,PC2_2d
dodge aspen se,20.0,6,225.0,100.0,3651,17.7,76,US,2,27.668416057767928,-14.084480789490383
ford granada ghia,18.0,6,250.0,78.0,3574,21.0,76,US,2,44.341278817654604,-43.03690571212675
pontiac ventura sj,18.5,6,250.0,110.0,3645,16.2,76,US,2,54.61174028379266,-12.541399334752745
amc pacer d/l,17.5,6,258.0,95.0,3193,17.8,76,US,2,57.41496395737182,-29.33339358237031
volkswagen rabbit,29.5,4,97.0,71.0,1825,12.2,76,Europe,1,-103.13090750058154,-0.15301722361762657
datsun b-210,32.0,4,85.0,70.0,1990,17.0,76,Japan,1,-115.00837626776966,2.3072975559086597
toyota corolla,28.0,4,97.0,75.0,2155,16.4,76,Japan,1,-101.82531062821141,3.374674305859831
ford pinto,26.5,4,140.0,72.0,2565,13.6,76,US,1,-62.000131726339895,-13.044192488402544
volvo 245,20.0,4,130.0,102.0,3150,15.7,76,Europe,1,-61.52084621332248,18.594988545728032
plymouth volare premier v8,13.0,8,318.0,150.0,3940,13.2,76,US,0,132.08554644542536,3.6903852594696853
peugeot 504,19.0,4,120.0,88.0,3270,21.9,76,Europe,1,-75.4828287674725,8.210007373515886
toyota mark ii,19.0,6,156.0,108.0,2930,15.5,76,Japan,1,-34.92862551767606,15.912020534778582
mercedes-benz 280s,16.5,6,168.0,120.0,3820,16.7,76,Europe,2,-19.61885378143539,23.377592961500635
cadillac seville,16.5,8,350.0,180.0,4380,12.1,76,US,0,171.75008168592862,21.57499516984869
chevy c10,13.0,8,350.0,145.0,4055,12.0,76,US,0,160.76158938446395,-11.252201179636007
ford f108,13.0,8,302.0,130.0,3870,15.0,76,US,0,110.53666594832748,-10.13569679355995
dodge d100,13.0,8,318.0,150.0,3755,14.0,76,US,0,132.07425018361872,3.631337130682535
honda accord cvcc,31.5,4,98.0,68.0,2045,18.5,77,Japan,1,-103.34814506292545,-3.857955767380838
buick opel isuzu deluxe,30.0,4,111.0,80.0,2155,14.8,77,US,1,-87.08095187938972,3.602019212403323
renault 5 gtl,36.0,4,79.0,58.0,1825,18.6,77,Europe,1,-124.77034158932251,-7.366825761641185
plymouth arrow gs,25.5,4,122.0,96.0,2300,15.5,77,US,1,-71.31611093957586,15.287044719377377
datsun f-10 hatchback,33.5,4,85.0,70.0,1945,16.8,77,Japan,1,-115.09153629186308,2.2548192632779833
chevrolet caprice classic,17.5,8,305.0,145.0,3880,12.5,77,US,0,117.94662129802853,3.018988629729359
oldsmobile cutlass supreme,17.0,8,260.0,110.0,4060,19.0,77,US,2,64.14301100339783,-15.920019567564529
dodge monaco brougham,15.5,8,318.0,145.0,4140,13.7,77,US,0,130.3365317692503,-1.1716543800462238
mercury cougar brougham,15.0,8,302.0,130.0,4295,14.9,77,US,0,110.42343252832652,-10.217969543898171
chevrolet concours,17.5,6,250.0,110.0,3520,16.4,77,US,2,54.66623894470437,-12.511334483731225
buick skylark,20.5,6,231.0,105.0,3425,16.9,77,US,2,34.923026073586506,-11.26942086657951
plymouth volare custom,19.0,6,225.0,100.0,3630,17.7,77,US,2,27.725738784131305,-14.039653906272067
ford granada,18.5,6,250.0,98.0,3525,19.0,77,US,2,50.735448895539434,-24.059429427855367
pontiac grand prix lj,16.0,8,400.0,180.0,4220,11.1,77,US,0,219.07059188100314,5.549201145397638
chevrolet monte carlo landau,15.5,8,350.0,170.0,4165,11.4,77,US,0,168.6199932480979,12.245354463799424
chrysler cordoba,15.5,8,400.0,190.0,4325,12.2,77,US,0,222.28101627747563,14.916558111880802
ford thunderbird,16.0,8,351.0,149.0,4335,14.5,77,US,0,162.7787931146307,-8.123193703509129
volkswagen rabbit custom,29.0,4,97.0,78.0,1940,14.5,77,Europe,1,-100.89661611480152,6.297927139097907
pontiac sunbird coupe,24.5,4,151.0,88.0,2740,16.0,77,US,1,-46.40260215877359,-1.5967114631469503
toyota corolla liftback,26.0,4,97.0,75.0,2265,18.2,77,Japan,1,-101.73608176454965,3.331469782525362
ford mustang ii 2+2,25.5,4,140.0,89.0,2755,15.8,77,US,1,-56.53847155137739,2.862681033976875
chevrolet chevette,30.5,4,98.0,63.0,2051,17.0,77,US,1,-104.86828954231207,-8.41548099366479
dodge colt m/m,33.5,4,98.0,83.0,2075,15.9,77,US,1,-98.6301345748682,10.383498937675288
subaru dl,30.0,4,97.0,67.0,1985,16.4,77,Japan,1,-104.49779239555812,-4.255887222141854
volkswagen dasher,30.5,4,97.0,78.0,2190,14.1,77,Europe,1,-100.97695207344321,6.260210878664018
datsun 810,22.0,6,146.0,97.0,2815,14.5,77,Japan,1,-48.05904400303721,8.707005399364455
bmw 320i,21.5,4,121.0,110.0,2600,12.8,77,Europe,1,-67.51803617003267,29.184668622187004
mazda rx-4,21.5,3,80.0,110.0,2720,13.5,77,Japan,1,-106.31029669564205,42.36045025441214
volkswagen rabbit custom diesel,43.1,4,90.0,48.0,1985,21.5,78,Europe,1,-118.01447701780694,-20.872124679250646
ford fiesta,36.1,4,98.0,66.0,1800,14.4,78,US,1,-104.19339534109287,-5.646764710542182
mazda glc deluxe,32.8,4,78.0,52.0,1985,19.4,78,Japan,1,-127.46213693282405,-12.615668332762667
datsun b210 gx,39.4,4,85.0,70.0,2070,18.6,78,Japan,1,-115.45515696647192,1.8574823625188714
honda civic cvcc,36.1,4,91.0,60.0,1800,16.4,78,Japan,1,-112.75889522222329,-9.192983385897678
oldsmobile cutlass salon brougham,19.9,8,260.0,110.0,3365,15.5,78,US,2,64.02619624234814,-15.791681965453838
dodge diplomat,19.4,8,318.0,140.0,3735,13.2,78,US,0,128.52138560342482,-6.022641495083826
mercury monarch ghia,20.2,8,302.0,139.0,3570,12.8,78,US,0,113.0325728924269,-1.8125467668064044
pontiac phoenix lj,19.2,6,231.0,105.0,3535,19.2,78,US,2,34.96506886516477,-11.380909288658765
chevrolet malibu,20.5,6,200.0,95.0,3155,18.2,78,US,2,2.3951825820023576,-10.795857849047596
ford fairmont (auto),20.2,6,200.0,85.0,2965,15.8,78,US,2,-0.7510272079436204,-20.031400099676997
ford fairmont (man),25.1,4,140.0,88.0,2720,15.4,78,US,1,-56.82962386925621,1.9675223814621403
plymouth volare,20.5,6,225.0,100.0,3430,17.2,78,US,2,27.646814858215407,-14.069989150607563
amc concord,19.4,6,232.0,90.0,3210,17.2,78,US,2,31.131456454588992,-25.703896748809935
buick century special,20.6,6,231.0,105.0,3380,15.8,78,US,2,34.932826160934326,-11.19271237781901
mercury zephyr,20.8,6,200.0,85.0,3070,16.7,78,US,2,-0.7981291382941245,-20.124725374493522
dodge aspen,18.6,6,225.0,110.0,3620,18.7,78,US,2,30.931842940693286,-4.669398612012346
amc concord d/l,18.1,6,258.0,120.0,3410,15.1,78,US,2,65.41193368833864,-5.595665522753813
chevrolet monte carlo landau,19.2,8,305.0,145.0,3425,13.2,78,US,0,117.83928843413,2.891115815569483
buick regal sport coupe (turbo),17.7,6,231.0,165.0,3445,13.4,78,US,2,54.31672321245775,45.67123818161355
ford futura,18.1,8,302.0,139.0,3205,11.2,78,US,0,113.17554314140328,-1.600314054473658
dodge magnum xe,17.5,8,318.0,140.0,4080,13.7,78,US,0,128.62323861988608,-5.97437549746101
chevrolet chevette,30.0,4,98.0,68.0,2155,16.5,78,US,1,-103.23392031886378,-3.643095120585498
toyota corona,27.5,4,134.0,95.0,2560,14.2,78,Japan,1,-60.38547466508201,10.481446461533656
datsun 510,27.2,4,119.0,97.0,2300,14.7,78,Japan,1,-73.9191974835375,17.179821674511693
dodge omni,30.9,4,105.0,75.0,2230,14.5,78,US,1,-94.40028135213286,0.8053928300691552
toyota celica gt liftback,21.1,4,134.0,95.0,2515,14.8,78,Japan,1,-60.027081412711404,10.724052417540468
plymouth sapporo,23.2,4,156.0,105.0,2745,16.7,78,US,1,-36.174791824551164,12.822123602969453
oldsmobile starfire sx,23.8,4,151.0,85.0,2855,17.6,78,US,1,-47.344257391915036,-4.511269313055335
datsun 200-sx,23.9,4,119.0,97.0,2405,14.9,78,Japan,1,-73.73285655199005,17.312988356935325
audi 5000,20.3,5,131.0,103.0,2830,15.9,78,Europe,1,-60.26094406453474,19.17955727548281
volvo 264gl,17.0,6,163.0,125.0,3140,13.6,78,Europe,2,-22.73286728394227,29.90926013262428
saab 99gle,21.6,4,121.0,115.0,2795,15.7,78,Europe,1,-65.96606969508066,33.67920381798993
peugeot 604sl,16.2,6,163.0,133.0,3410,15.8,78,Europe,2,-20.160237508199913,37.323647046599326
volkswagen scirocco,31.5,4,89.0,71.0,1990,14.9,78,Europe,1,-110.84811439764725,2.1375643956161854
honda accord lx,29.5,4,98.0,68.0,2135,16.6,78,Japan,1,-103.20667098840792,-3.6280626950747368
pontiac lemans v6,21.5,6,231.0,115.0,3245,15.4,79,US,2,38.084179231385555,-1.777397806365576
mercury zephyr 6,19.8,6,200.0,85.0,2990,18.2,79,US,2,-0.7619869028182233,-20.190613732751114
ford fairmont 4,22.3,4,140.0,88.0,2890,17.3,79,US,1,-56.695948857229574,1.9527983486039224
amc concord dl 6,20.2,6,232.0,90.0,3265,18.2,79,US,2,31.071477946239977,-25.813568416368526
dodge aspen 6,20.6,6,225.0,110.0,3360,16.6,79,US,2,30.846850175209003,-4.604051040382695
chevrolet caprice classic,17.0,8,305.0,130.0,3840,15.4,79,US,0,113.13839062224869,-11.31184944844941
ford ltd landau,17.6,8,302.0,129.0,3725,13.4,79,US,0,109.97584439134175,-11.166417668985504
mercury grand marquis,16.5,8,351.0,138.0,3955,13.2,79,US,0,159.25146324428238,-18.41840210799113
dodge st. regis,18.2,8,318.0,135.0,3830,15.2,79,US,0,126.9632845239068,-10.829536908167901
buick estate wagon (sw),16.9,8,350.0,155.0,4360,14.9,79,US,0,163.69437719587265,-2.2149407890844994
ford country squire (sw),15.5,8,351.0,142.0,4054,14.3,79,US,0,160.57217176797158,-14.684312521072618
chevrolet malibu classic (sw),19.2,8,267.0,125.0,3605,15.0,79,US,2,75.48820739499291,-3.8412784815607335
chrysler lebaron town @ country (sw),18.5,8,360.0,150.0,3940,13.0,79,US,0,171.48638745977144,-10.08389537275131
vw rabbit custom,31.9,4,89.0,71.0,1925,14.0,79,Europe,1,-110.85833519366011,2.1860627872144063
maxda glc deluxe,34.1,4,86.0,65.0,1975,15.2,79,Japan,1,-115.75643053061255,-2.689488312597752
dodge colt hatchback custom,35.7,4,98.0,80.0,1915,14.4,79,US,1,-99.69425269996258,7.567754625484015
amc spirit dl,27.4,4,121.0,80.0,2670,15.0,79,US,1,-77.47919115536969,0.47940355116530836
mercedes benz 300d,25.4,5,183.0,77.0,3530,20.1,79,Europe,2,-19.756725721167847,-22.633911062275498
cadillac eldorado,23.0,8,350.0,125.0,3900,17.4,79,US,0,153.71752156708544,-30.951314285045033
peugeot 504,27.2,4,141.0,71.0,3190,24.8,79,Europe,1,-61.57258026932218,-15.167298932411981
oldsmobile cutlass salon brougham,23.9,8,260.0,90.0,3420,22.2,79,US,2,57.307708357714034,-35.317786980832125
plymouth horizon,34.2,4,105.0,70.0,2200,13.2,79,US,1,-96.16973762033368,-3.9596500262503134
plymouth horizon tc3,34.5,4,105.0,70.0,2150,14.9,79,US,1,-96.21093899458184,-4.098575364888499
datsun 210,31.8,4,85.0,65.0,2020,19.2,79,Japan,1,-116.62662413910274,-2.5591867725905106
fiat strada custom,37.3,4,91.0,69.0,2130,14.7,79,Europe,1,-109.92611208357275,-0.637777140326251
buick skylark limited,28.4,4,151.0,90.0,2670,16.0,79,US,1,-45.986701712935755,0.11369063269291137
chevrolet citation,28.8,6,173.0,115.0,2595,11.3,79,US,2,-17.118548394683984,16.899528053546124
oldsmobile omega brougham,26.8,6,173.0,115.0,2700,12.9,79,US,2,-17.026495465570548,16.871085562408435
pontiac phoenix,33.5,4,151.0,90.0,2556,13.2,79,US,1,-46.23951070106569,0.09174197903456323
vw rabbit,41.5,4,98.0,76.0,2144,14.7,80,Europe,1,-101.30987876835762,3.515161773740107
toyota corolla tercel,38.1,4,89.0,60.0,1968,18.8,80,Japan,1,-114.79853860055536,-8.814900833613983
chevrolet chevette,32.1,4,98.0,70.0,2120,15.5,80,US,1,-102.70071863831355,-1.7781944739687416
datsun 310,37.2,4,86.0,65.0,2019,16.4,80,Japan,1,-115.95107537504899,-2.9170238437552363
chevrolet citation,28.0,4,151.0,90.0,2678,16.5,80,US,1,-45.97083278601958,0.09471630548826733
ford fairmont,26.4,4,140.0,88.0,2870,18.1,80,US,1,-56.94226829712605,1.709959998621704
amc concord,24.3,4,151.0,90.0,3003,20.1,80,US,1,-45.80957187660504,-0.005140806146164209
dodge aspen,19.1,6,225.0,90.0,3381,18.7,80,US,2,24.508590790961698,-23.54408145753418
audi 4000,34.3,4,97.0,78.0,2188,15.8,80,Europe,1,-101.21878298996319,5.96439144876175
toyota corona liftback,29.8,4,134.0,90.0,2711,15.5,80,Japan,1,-62.13432105779104,5.569324069874257
mazda 626,31.3,4,120.0,75.0,2542,17.5,80,Japan,1,-80.28225287306284,-4.270573694283227
datsun 510 hatchback,37.0,4,119.0,92.0,2434,15.0,80,Japan,1,-76.0838439967135,12.00530781969891
toyota corolla,32.2,4,108.0,75.0,2265,15.2,80,Japan,1,-91.64802141520802,-0.27187028842605254
mazda glc,46.6,4,86.0,65.0,2110,17.9,80,Japan,1,-116.51108949375211,-3.449111787483251
dodge colt,27.9,4,156.0,105.0,2800,14.4,80,US,1,-36.4117318857649,12.781200622106457
datsun 210,40.8,4,85.0,65.0,2110,19.2,80,Japan,1,-117.14252867637306,-2.962628721555295
vw rabbit c (diesel),44.3,4,90.0,48.0,2085,21.7,80,Europe,1,-118.08608835489466,-20.940678971309403
vw dasher (diesel),43.4,4,90.0,48.0,2335,23.7,80,Europe,1,-118.06273855568429,-21.047955098380797
audi 5000s (diesel),36.4,5,121.0,67.0,2950,19.9,80,Europe,1,-82.20613038473502,-12.547077589901699
mercedes-benz 240d,30.0,4,146.0,67.0,3250,21.8,80,Europe,1,-58.24186822821122,-20.454039365958387
honda civic 1500 gl,44.6,4,91.0,67.0,1850,13.8,80,Japan,1,-110.97131877014789,-2.7838111833256267
subaru dl,33.8,4,97.0,67.0,2145,18.0,80,Japan,1,-104.73821127935226,-4.544325635945731
vokswagen rabbit,29.8,4,89.0,62.0,1845,15.3,80,Europe,1,-113.63387974768028,-6.299275199066967
datsun 280-zx,32.7,6,168.0,132.0,2910,11.4,80,Japan,2,-16.63588974212302,34.353952948926505
mazda rx-7 gs,23.7,3,70.0,100.0,2420,12.5,80,Japan,1,-119.075127460585,36.13391009576829
triumph tr7 coupe,35.0,4,122.0,88.0,2500,15.1,80,Europe,1,-74.4128650237445,7.349805631631954
honda accord,32.4,4,107.0,72.0,2290,17.0,80,Japan,1,-93.58964573762083,-2.919094012886821
plymouth reliant,27.2,4,135.0,84.0,2490,15.7,81,US,1,-62.96092870057022,-0.3070092396696113
buick skylark,26.6,4,151.0,84.0,2635,16.4,81,US,1,-47.80754617234999,-5.490825863081508
dodge aries wagon (sw),25.8,4,156.0,92.0,2620,14.4,81,US,1,-40.44783817165924,0.6213619643216692
chevrolet citation,23.5,6,173.0,110.0,2725,12.6,81,US,2,-18.431742067031404,12.328089974345868
plymouth reliant,30.0,4,135.0,84.0,2385,12.9,81,US,1,-63.08189541806438,-0.2258560619258497
toyota starlet,39.1,4,79.0,58.0,1755,16.9,81,Japan,1,-124.92403748470984,-7.380311825945247
plymouth champ,39.0,4,86.0,64.0,1875,16.4,81,US,1,-116.37398582183056,-3.9403257037438246
honda civic 1300,35.1,4,81.0,60.0,1760,16.1,81,Japan,1,-122.15288209860934,-5.901609928975359
subaru,32.3,4,97.0,67.0,2065,17.8,81,Japan,1,-104.6494031243555,-4.462323278921479
datsun 210 mpg,37.0,4,85.0,65.0,1975,19.4,81,Japan,1,-116.92752638164393,-2.8070485975225044
toyota tercel,37.7,4,89.0,62.0,2050,17.3,81,Japan,1,-114.11496994046759,-6.801027898459484
mazda glc 4,34.1,4,91.0,68.0,1985,16.0,81,Japan,1,-110.08076532397327,-1.532897793502417
plymouth horizon 4,34.7,4,105.0,63.0,2215,14.9,81,US,1,-98.46051031514695,-10.705835032901598
ford escort 4w,34.4,4,98.0,65.0,2045,16.2,81,US,1,-104.44109283466759,-6.646030769037777
ford escort 2h,29.9,4,98.0,65.0,2380,20.7,81,US,1,-104.24668203869486,-6.776455518983107
volkswagen jetta,33.0,4,105.0,74.0,2190,14.2,81,Europe,1,-94.83615251864596,-0.20921404658974704
honda prelude,33.7,4,107.0,75.0,2210,14.4,81,Japan,1,-92.66826381303912,0.04237786807451789
toyota corolla,32.4,4,108.0,75.0,2350,16.8,81,Japan,1,-91.68207848409399,-0.3989319226440144
datsun 200sx,32.9,4,119.0,100.0,2615,14.8,81,Japan,1,-73.28816043855207,19.74476783465584
mazda 626,31.6,4,120.0,74.0,2635,18.3,81,Japan,1,-80.63047549210602,-5.285683358231501
peugeot 505s turbo diesel,28.1,4,141.0,80.0,3230,20.4,81,Europe,1,-58.68447542916518,-6.399357187218432
volvo diesel,30.7,6,145.0,76.0,3160,19.6,81,Europe,1,-56.289640287386035,-11.531862827220346
toyota cressida,25.4,6,168.0,116.0,2900,12.6,81,Japan,2,-21.35005086162029,19.5108014801093
datsun 810 maxima,24.2,6,146.0,120.0,2930,13.8,81,Japan,1,-40.821490367423415,30.340163183472498
buick century,22.4,6,231.0,110.0,3415,15.8,81,US,2,36.42829295011772,-6.560333416633798
oldsmobile cutlass ls,26.6,8,350.0,105.0,3725,19.0,81,US,0,147.09397644201405,-50.08305672611792
ford granada gl,20.2,6,200.0,88.0,3060,17.1,81,US,2,0.18980498460305473,-17.29951289836921
chrysler lebaron salon,17.6,6,225.0,85.0,3465,16.6,81,US,2,23.025579871111756,-28.034907145618607
chevrolet cavalier,28.0,4,112.0,88.0,2605,19.6,82,US,1,-83.53069311279025,10.555851615141222
chevrolet cavalier wagon,27.0,4,112.0,88.0,2640,18.6,82,US,1,-83.45925005916857,10.674488659343472
chevrolet cavalier 2-door,34.0,4,112.0,88.0,2395,18.0,82,US,1,-83.85203694735716,10.404986573405669
pontiac j2000 se hatchback,31.0,4,112.0,85.0,2575,16.2,82,US,1,-84.61384079718458,7.844485102244787
dodge aries se,29.0,4,135.0,84.0,2525,16.0,82,US,1,-63.0683457062018,-0.40984067775774735
pontiac phoenix,27.0,4,151.0,90.0,2735,18.0,82,US,1,-45.934690550543664,0.0288279472306682
ford fairmont futura,24.0,4,140.0,92.0,2865,16.4,82,US,1,-55.50177104020485,5.713475672800877
volkswagen rabbit l,36.0,4,105.0,74.0,1980,15.3,82,Europe,1,-95.02365305772021,-0.42488587332700456
mazda glc custom l,37.0,4,91.0,68.0,2025,18.2,82,Japan,1,-110.2780659503953,-1.8252781090001737
mazda glc custom,31.0,4,91.0,68.0,1970,17.6,82,Japan,1,-109.9256573958601,-1.5120307130999602
plymouth horizon miser,38.0,4,105.0,63.0,2125,14.7,82,US,1,-98.64685124669444,-10.839001715325232
mercury lynx l,36.0,4,98.0,70.0,2125,17.3,82,US,1,-102.94969386019565,-2.0858776082912356
nissan stanza xe,36.0,4,120.0,88.0,2160,14.5,82,Japan,1,-76.35282469393829,7.994145550085772
honda accord,36.0,4,107.0,75.0,2205,14.5,82,Japan,1,-92.80151811640067,-0.06810497942598578
toyota corolla,34.0,4,108.0,70.0,2245,16.9,82,Japan,1,-93.37385457563867,-5.19110330286987
honda civic,38.0,4,91.0,67.0,1965,15.0,82,Japan,1,-110.60993316885958,-2.5765259472655155
honda civic (auto),32.0,4,91.0,67.0,1965,15.7,82,Japan,1,-110.27588103976021,-2.3592317606444198
datsun 310 gx,38.0,4,91.0,67.0,1995,16.2,82,Japan,1,-110.62687756156957,-2.6650981404462413
buick century limited,25.0,6,181.0,110.0,2945,16.4,82,US,2,-11.00694683941654,9.40084821745238
oldsmobile cutlass ciera (diesel),38.0,6,262.0,85.0,3015,17.0,82,US,2,56.83606721582513,-40.90919267167835
chrysler lebaron medallion,26.0,4,156.0,92.0,2585,14.5,82,US,1,-40.460714749657754,0.6050155715796159
ford granada l,22.0,6,232.0,112.0,2835,14.7,82,US,2,38.0517680493949,-4.898424898413759
toyota celica gt,32.0,4,144.0,96.0,2665,13.9,82,Japan,1,-50.8639155952853,8.02007848013325
dodge charger 2.2,36.0,4,135.0,84.0,2370,13.0,82,US,1,-63.42724380897044,-0.5021983773341021
chevrolet camaro,27.0,4,151.0,90.0,2950,17.3,82,US,1,-45.924806321462846,0.08049505991942477
ford mustang gl,27.0,4,140.0,86.0,2790,15.6,82,US,1,-57.580820193453285,-0.017637669240704174
vw pickup,44.0,4,97.0,52.0,2130,24.6,82,Europe,1,-110.21204033807592,-19.62790896020098
dodge rampage,32.0,4,135.0,84.0,2295,11.6,82,US,1,-63.17818444535532,-0.21955661908334684
ford ranger,28.0,4,120.0,79.0,2625,18.6,82,US,1,-78.82970207873787,-0.4333822759626053
chevy s-10,31.0,4,119.0,82.0,2720,19.4,82,US,1,-78.99933247174484,2.5233697087231017
